Title,Artist,Album,Duration,"Media Type"
"Save Your Sundays For Surfin'","Fantastic Baggys","100 Greatest Surf Rock Songs",00:02:13,track
"Little Miss Red Riding Hood Surfer Queen Of Hollywood","Jim Pewter","100 Greatest Surf Rock Songs",00:02:47,track
"Surf Man","Richie Allen & The Pacific Surfers","100 Greatest Surf Rock Songs",00:02:19,track
Misirlou,"The Astronauts","Surfin' With The Astronauts",00:02:05,track
Pipeline,"The Astronauts","Surfin' With The Astronauts",00:02:06,track
Bombora,"The Atlantics","Flight of the Surf Guitar 21st Anniversary Edition",00:03:07,track
Runaway,"The Bel-Airs","More Surf Legends (And Rumors)",00:02:25,track
"Surfer's Life","The Blue Stingrays","100 Greatest Surf Rock Songs",00:04:11,track
"The Ninth Wave","The Bomboras","100 Greatest Surf Rock Songs",00:02:15,track
"Holiday Girl","The Centurions","Bullwinkle Pt. II",00:01:50,track
Pipeline,"The Chantays",Unknown,00:02:20,track
Runaway,"The Chantays",Pipeline,00:02:55,track
"Sleep Walk","The Chantays",Pipeline,00:02:36,track
Misirlou,"The Lively Ones","Surf Rider!",00:02:31,track
"Mr. Moto","The Lively Ones","Surf Drums",00:02:00,track
Rumble,"The Lively Ones","Surf Drums",00:04:09,track
"Wild Weekend","The Lively Ones","Surf Drums",00:02:11,track
"Don't Leave Me","The Pastel Six","Surf Legends (And Rumors) - Rockin' Instrumentals 1961 - 1964",00:03:19,track
"Surrfer Smootch","The Pastel Six","More Surf Legends (And Rumors)",00:02:40,track
Caravan,"The Rhythm Rockers","Soul Surfin'",00:01:35,track
"Big Wednesday","The Rip Chords","100 Greatest Surf Rock Songs",00:01:32,track
"Night Scene","The Rumblers","Surf Legends (And Rumors) - Rockin' Instrumentals 1961 - 1964",00:02:14,track
"Theme from The Endless Summer","The Sandals","100 Greatest Surf Rock Songs",00:02:50,track
Misirlou,"The Surfaris",Play,00:03:42,track
"Surfaris Stomp","The Surfaris",Play,00:02:15,track
"Surfing Drums","The Surfaris",Play,00:03:06,track
"Wipe Out","The Surfaris",Unknown,00:02:17,track
Malagueña,"The Tornadoes","Bustin' Surfboards",00:02:32,track
"Moon Dawg","The Tornadoes","Bustin' Surfboards",00:02:19,track
Summertime,"The Tornadoes","Bustin' Surfboards",00:03:02,track
Perfidia,"The Ventures","The Ventures Best Hit Collection 30",00:02:07,track
"Santa Cruz","The Ventures","100 Greatest Surf Rock Songs",00:02:43,track
"Book Song","Fairport Convention","Meet on the Ledge - The Classic Years (1967-1975) (disc 1)",00:03:15,track
"Crazy Man Michael","Fairport Convention","Meet on the Ledge - The Classic Years (1967-1975) (disc 1)",00:04:38,track
"Genesis Hall","Fairport Convention","Meet on the Ledge - The Classic Years (1967-1975) (disc 1)",00:03:39,track
"I'll Keep It With Mine","Fairport Convention","Meet on the Ledge - The Classic Years (1967-1975) (disc 1)",00:05:54,track
"Now Be Thankful","Fairport Convention","Meet on the Ledge - The Classic Years 1967-1975 Disc 2",00:02:24,track
"White Dress","Fairport Convention","Meet on the Ledge - The Classic Years 1967-1975 Disc 2",00:03:43,track
"Born To Be Burned","Grace Slick & The Great Society",Unknown,00:03:13,track
"Darkly Smiling","Grace Slick & The Great Society",Unknown,00:03:08,track
"Somebody To Love","Grace Slick & The Great Society",Unknown,00:04:27,track
