artist_raw,track_count,ignore
The Krayolas,3,false
The Krontjong Devils,3,false
The Marvelettes,3,false
The Memphis Suns,3,false
The Minestompers,3,false
The Primer Kings,3,false
THE PUSSYCATS,3,false
The Ramblin Bandits,3,false
The Seekers,3,false
The Sonoras,3,false
The Spotnicks,3,false
The Strays,3,false
The Surf Rats,3,false
The Tremolo Beer Gut,3,false
The Venus In Furs,3,false
The Who,3,false
The Тяга,3,false
Tom Toxic & Die Holstein Rockets,3,false
Tom Verlaine,3,false
Twisted Rod,3,false
Vulvette,3,false
Wanton,3,false
Wayne Jayne County,3,false
WJLP,3,false
Zombie Jamboree,3,false
Макс Параграф,3,false
Мандри,3,false
Олександр Ремез,3,false
A Pony Named Olga,2,false
Alan Jackson,2,false
Albert Ginés,2,false
Albert Ginés y sus Oceánicos,2,false
Alessandro Alessandroni,2,false
Allison Moorer,2,false
Amanda Palmer,2,false
Andrew Hale,2,false
Angela Hoodoo,2,false
Angela Strehli,2,false
Ann-Margret,2,false
Anna Dukke,2,false
Anne Murray,2,false
Arlo Mckinley,2,false
Arms Grace,2,false
Art Garfunkel,2,false
Avery West ft. Boogie Fleetwood Jr.,2,false
Backstrom,2,false
Badfinger,2,false
Bang Bang Band Girl,2,false
Becky Buller,2,false
Bernie Barlow,2,false
Big Sandy & His Fly-Rite Boys,2,false
Billie Holiday,2,false
Billy Valentine & The Forest Rangers,2,false
BJ Baartmans & Wild Verband,2,false
Black Cat Bone,2,false
Bloodest Saxophone,2,false
Bob Dylan,2,false
Bombat Belus,2,false
Bones In The Walls,2,false
Bonnie Tyler,2,false
Brea Robertson,2,false
Brennen Leigh,2,false
Bruce Springsteen,2,false
Bryan Ferry,2,false
Bud Shank,2,false
Buddy Morrow,2,false
Bunny Paul,2,false
Carlos & the Bandidos,2,false
Carlos And The Bandidos,2,false
Carole King,2,false
Caroline Spence,2,false
Charlie Sundown,2,false
Chip Taylor & The New Ukrainians,2,false
Chris Casello,2,false
Chromatics,2,false
Chrome Castle,2,false
Codex Nihilim,2,false
Coleman Hawkins & Ben Webster,2,false
Cop Shop,2,false
Count Basie Orchestra,2,false
Country Joe McDonald,2,false
Cuby & Blizzards,2,false
Daisy June & the Loose,2,false
DangerForce 5,2,false
Daphne Parker Powell,2,false
Dave Edmunds,2,false
Dave Vamfer,2,false
David Rodriguez and the Rhythm Chiefs,2,false
Dean Owens,2,false
Dee Dee Sharp,2,false
Deluxe Blues Band,2,false
Di Maggio Brothers,2,false
Diana Krall,2,false
Dinah Washington & Quincy Jones,2,false
Dion And The Belmonts,2,false
Dizzy Gillespie,2,false
Doc & The Mads,2,false
Dom Mariani & The Majestic Kelp,2,false
Don Ray,2,false
Doomachine Orchestra,2,false
Drakulina,2,false
Drossabilly Buzz,2,false
Duane Eddy,2,false
Duke Ellington & John Coltrane,2,false
Eddie Holman,2,false
Eddie Vedder,2,false
El Borko,2,false
El Castillo,2,false
El Pistolero`s,2,false
El Ray,2,false
Elmer Bernstein,2,false
Elvis Perkins,2,false
Enric Peidro,2,false
Esquivel & His Orchestra,2,false
Evelyn Cornell,2,false
Evil Elvis,2,false
Fats Domino,2,false
Five Boroughs,2,false
Franco Tonani,2,false
Freno De Pedales,2,false
Furious Nakamura,2,false
Gentlemen & Gangsters,2,false
Girly and The Blue Caps,2,false
Gladys Knight & The Pips,2,false
Glasgow Tiki Shakers,2,false
Glenn Crytzer and His Quartet,2,false
God Of Surf,2,false
Grace Cummings,2,false
Graham Nash,2,false
Guitar UP!,2,false
Harold Melvin & The Blue Notes,2,false
