artist_raw,artist_canonical,track_count,monitor_priority,ignore,notes
Silas J. Dirge,Silas J. Dirge,7,medium,false,
The Atlantics,The Atlantics,7,medium,false,
The ChuGuysters,The ChuGuysters,7,medium,false,
The Clash,The Clash,7,medium,false,
The Coffinshakers,The Coffinshakers,7,medium,false,
The Double Happiness,The Double Happiness,7,medium,false,
The Hawkmen,The Hawkmen,7,medium,false,
The Montvales,The Montvales,7,medium,false,
The Rocket Dogz,The Rocket Dogz,7,medium,false,
Tip Jar,Tip Jar,7,medium,false,
Vern Jules & The Aquanauts,Vern Jules & The Aquanauts,7,medium,false,
Weather Report,Weather Report,7,medium,false,
Banditos,Banditos,6,medium,false,
Bill Evans,Bill Evans,6,medium,false,
Bonnie Raitt,Bonnie Raitt,6,medium,false,
Buddy Holly,Buddy Holly,6,medium,false,
Carl Perkins,Carl Perkins,6,medium,false,
Clare Teal,Clare Teal,6,medium,false,
Danny B. Harvey & Annie Marie Lewis,Danny B. Harvey & Annie Marie Lewis,6,medium,false,
Davina and The Vagabonds,Davina and The Vagabonds,6,medium,false,
Dini Kimmel,Dini Kimmel,6,medium,false,
Dire Straits,Dire Straits,6,medium,false,
EightBomb,EightBomb,6,medium,false,
Eilen Jewell,Eilen Jewell,6,medium,false,
Fairport Convention,Fairport Convention,6,medium,false,
Flora Falls,Flora Falls,6,medium,false,
Ghoultown,Ghoultown,6,medium,false,
Glen Campbell,Glen Campbell,6,medium,false,
Greg Townson,Greg Townson,6,medium,false,
INXS,INXS,6,medium,false,
Janis Joplin,Janis Joplin,6,medium,false,
Jillhouse,Jillhouse,6,medium,false,
John Cale and Lou Reed,John Cale and Lou Reed,6,medium,false,
Kirsty McColl,Kirsty McColl,6,medium,false,
Kristina Train,Kristina Train,6,medium,false,
Linda Gail Lewis,Linda Gail Lewis,6,medium,false,
Louis Jordan & His Tympany Five,Louis Jordan & His Tympany Five,6,medium,false,
Luther Dickinson and Sisters of the Strawberry Moon,Luther Dickinson and Sisters of the Strawberry Moon,6,medium,false,
Lynn Miles,Lynn Miles,6,medium,false,
Magnatech,Magnatech,6,medium,false,
Martin Denny,Martin Denny,6,medium,false,
Mary Ann Hawkins,Mary Ann Hawkins,6,medium,false,
Mattie Schell,Mattie Schell,6,medium,false,
Maya de Vitry,Maya de Vitry,6,medium,false,
Mel Bryant & the Mercy Makers,Mel Bryant & the Mercy Makers,6,medium,false,
Miles Davis,Miles Davis,6,medium,false,
Moussaka,Moussaka,6,medium,false,
Mr Skatkov,Mr Skatkov,6,medium,false,
Muddy Waters,Muddy Waters,6,medium,false,
Nancy Sinatra,Nancy Sinatra,6,medium,false,
Nat King Cole,Nat King Cole,6,medium,false,
Nico,Nico,6,medium,false,
Oscar Peterson,Oscar Peterson,6,medium,false,
P Paul Fenech,P Paul Fenech,6,medium,false,
P. Paul Fenech,P. Paul Fenech,6,medium,false,
Paul Weston,Paul Weston,6,medium,false,
Rafael Riqueni,Rafael Riqueni,6,medium,false,
REMEZ,REMEZ,6,medium,false,
Reverend Horton Heat,Reverend Horton Heat,6,medium,false,
Sarah Jarosz,Sarah Jarosz,6,medium,false,
Screamin' Jay Hawkins,Screamin' Jay Hawkins,6,medium,false,
Screamin' Rebel Angels,Screamin' Rebel Angels,6,medium,false,
Staccato,Staccato,6,medium,false,
Steve T Hunter,Steve T Hunter,6,medium,false,
Takeshi Terauchi & Blue Jeans,Takeshi Terauchi & Blue Jeans,6,medium,false,
The Big Jamboree,The Big Jamboree,6,medium,false,
The Brothers Four,The Brothers Four,6,medium,false,
The Epileptic Hillbillys,The Epileptic Hillbillys,6,medium,false,
The Hello Darlins,The Hello Darlins,6,medium,false,
The Neurotix,The Neurotix,6,medium,false,
The Obscuritones,The Obscuritones,6,medium,false,
The Pastel Six,The Pastel Six,6,medium,false,
The Platters,The Platters,6,medium,false,
The Sea-Jays,The Sea-Jays,6,medium,false,
The Vrooming Crew avec Grandsart & Dolores,The Vrooming Crew avec Grandsart & Dolores,6,medium,false,
Tia Brazda,Tia Brazda,6,medium,false,
Tiwayo,Tiwayo,6,medium,false,
Tony Joe White + Flying Mojito Bros,Tony Joe White + Flying Mojito Bros,6,medium,false,
Tori Amos,Tori Amos,6,medium,false,
Van Morrison,Van Morrison,6,medium,false,
Vanessa Peters,Vanessa Peters,6,medium,false,
Willie Dixon,Willie Dixon,6,medium,false,
Xavier Cugat,Xavier Cugat,6,medium,false,
Брати Гадюкіни,Брати Гадюкіни,6,medium,false,
Anna Tivel,Anna Tivel,5,medium,false,
Banditoz Band,Banditoz Band,5,medium,false,
Captain Beefheart,Captain Beefheart,5,medium,false,
Chilli & The Baracudas,Chilli & The Baracudas,5,medium,false,
Cocteau Twins,Cocteau Twins,5,medium,false,
Crys Matthews,Crys Matthews,5,medium,false,
Crystal & Runnin' Wild,Crystal & Runnin' Wild,5,medium,false,
Dave Alvin,Dave Alvin,5,medium,false,
Derek & The Dominos,Derek & The Dominos,5,medium,false,
Eddie Cochran,Eddie Cochran,5,medium,false,
Eric Kay and the Surfaronies,Eric Kay and the Surfaronies,5,medium,false,
Federale,Federale,5,medium,false,
Ferrante & Teicher,Ferrante & Teicher,5,medium,false,
Gillian Welch,Gillian Welch,5,medium,false,
Gram Parsons and The Flying Burrito Bros,Gram Parsons and The Flying Burrito Bros,5,medium,false,
Grave Slaves,Grave Slaves,5,medium,false,
Grey Delisle,Grey Delisle,5,medium,false,
Half Deaf Clatch,Half Deaf Clatch,5,medium,false,
Hellbilly Club,Hellbilly Club,5,medium,false,
Herb Alpert and the Tijuana Brass,Herb Alpert and the Tijuana Brass,5,medium,false,
Iris Williams,Iris Williams,5,medium,false,
Juan Garcia Esquivel,Juan Garcia Esquivel,5,medium,false,
Juice Newton,Juice Newton,5,medium,false,
Kacey Musgraves,Kacey Musgraves,5,medium,false,
Kate Ellis,Kate Ellis,5,medium,false,
Kaydash,Kaydash,5,medium,false,
Kenyon Hopkins,Kenyon Hopkins,5,medium,false,
Lara Hope & the Ark-Tones,Lara Hope & the Ark-Tones,5,medium,false,
Lazer Gun Saloon,Lazer Gun Saloon,5,medium,false,
Leo Addeo and His Orchestra,Leo Addeo and His Orchestra,5,medium,false,
Link Wray,Link Wray,5,medium,false,
Little Kahuna,Little Kahuna,5,medium,false,
Los Reverb,Los Reverb,5,medium,false,
Madeleine Peyroux,Madeleine Peyroux,5,medium,false,
Mamas and The Papas,Mamas and The Papas,5,medium,false,
Mary-Elaine Jenkins,Mary-Elaine Jenkins,5,medium,false,
MonaLisa Twins,MonaLisa Twins,5,medium,false,
Morphine,Morphine,5,medium,false,
Nasty Boogie,Nasty Boogie,5,medium,false,
Natascha & The Spy Boys,Natascha & The Spy Boys,5,medium,false,
Neil Diamond,Neil Diamond,5,medium,false,
Nick Cave,Nick Cave,5,medium,false,
Nick Cave And Warren Ellis,Nick Cave And Warren Ellis,5,medium,false,
Now That's What I Call Surf,Now That's What I Call Surf,5,medium,false,
Paul Ansell's Number Nine,Paul Ansell's Number Nine,5,medium,false,
Poison Bar,Poison Bar,5,medium,false,
Robert Johnson,Robert Johnson,5,medium,false,
Ruth Brown,Ruth Brown,5,medium,false,
Sam Cooke,Sam Cooke,5,medium,false,
Samantha Clemons,Samantha Clemons,5,medium,false,
Skeeter Davis,Skeeter Davis,5,medium,false,
Strawfoot,Strawfoot,5,medium,false,
Sturgill Simpson,Sturgill Simpson,5,medium,false,
The Boomerangs,The Boomerangs,5,medium,false,
The Byrds,The Byrds,5,medium,false,
The Doors,The Doors,5,medium,false,
The Greystone Collective,The Greystone Collective,5,medium,false,
The Hang Ten Gallon Hats,The Hang Ten Gallon Hats,5,medium,false,
The Reverend Horton Heat,The Reverend Horton Heat,5,medium,false,
The Routes,The Routes,5,medium,false,
The Sharks,The Sharks,5,medium,false,
The Vicissitones,The Vicissitones,5,medium,false,
Tranes,Tranes,5,medium,false,
Vanessa Paradis,Vanessa Paradis,5,medium,false,
Vilma Flood,Vilma Flood,5,medium,false,
Vince Eager,Vince Eager,5,medium,false,
X Ray Cat Trio,X Ray Cat Trio,5,medium,false,
ZWYNTAR,ZWYNTAR,5,medium,false,
Alcohol Ukulele,Alcohol Ukulele,4,low,false,
Alison Krauss,Alison Krauss,4,low,false,
Alpha Rhythm Kings,Alpha Rhythm Kings,4,low,false,
Angela Easterling,Angela Easterling,4,low,false,
Arno De Cea And The Clockwork Wizards,Arno De Cea And The Clockwork Wizards,4,low,false,
B. B. King,B. B. King,4,low,false,
B.B. King,B.B. King,4,low,false,
Barbara Lynn,Barbara Lynn,4,low,false,
Barry Adamson,Barry Adamson,4,low,false,
Bettye LaVette,Bettye LaVette,4,low,false,
Bobby Darin,Bobby Darin,4,low,false,
Buddy Guy,Buddy Guy,4,low,false,
Charlie Parker,Charlie Parker,4,low,false,
Chet Atkins,Chet Atkins,4,low,false,
Chris Rea,Chris Rea,4,low,false,
Cindi Lou & The Red Hot Royals,Cindi Lou & The Red Hot Royals,4,low,false,
Clockwork Psycho,Clockwork Psycho,4,low,false,
Colin Paul,Colin Paul,4,low,false,
Cosy Oleksa,Cosy Oleksa,4,low,false,
Cristina Vane,Cristina Vane,4,low,false,
Donna Dunne,Donna Dunne,4,low,false,
Duke Ellington,Duke Ellington,4,low,false,
Edward Hartline,Edward Hartline,4,low,false,
Egotones,Egotones,4,low,false,
Ella Fitzgerald,Ella Fitzgerald,4,low,false,
Ella Fitzgerald & Chick Webb,Ella Fitzgerald & Chick Webb,4,low,false,
Emily Love,Emily Love,4,low,false,
Etta James,Etta James,4,low,false,
Eugene & The Sampletones!,Eugene & The Sampletones!,4,low,false,
Eva Eastwood,Eva Eastwood,4,low,false,
Frank Zappa,Frank Zappa,4,low,false,
Georgia Harmer,Georgia Harmer,4,low,false,
Grace Slick & The Great Society,Grace Slick & The Great Society,4,low,false,
Hannah White,Hannah White,4,low,false,
Harry Jordan,Harry Jordan,4,low,false,
Humanga Danga,Humanga Danga,4,low,false,
Hurray For The Riff Raff,Hurray For The Riff Raff,4,low,false,
Jane Rose & The Deadend Boys,Jane Rose & The Deadend Boys,4,low,false,
Jim And The Sea Dragons,Jim And The Sea Dragons,4,low,false,
John Moreland,John Moreland,4,low,false,
Judy Henske,Judy Henske,4,low,false,
Kassi Valazza,Kassi Valazza,4,low,false,
Kate Fenner,Kate Fenner,4,low,false,
